country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
England,Ghana,2026-06-23T20:00:00Z,home,0.7141745052222507,0.7144241933315857,627000000.0,4479.439692189042
South Korea,South Africa,2026-06-25T01:00:00Z,away,0.4486047152735027,0.9736495307284996,459000000.0,4469.051346043813
South Korea,Mexico,2026-06-19T01:00:00Z,away,0.2064150227811407,0.9289380936839552,459000000.0,4263.825850009354
England,Panama,2026-06-27T21:00:00Z,away,0.7756342094531137,0.6165365018763684,627000000.0,3865.6838667648303
Germany,Ecuador,2026-06-25T20:00:00Z,away,0.5641676433995375,0.8949013779760656,420000000.0,3758.5857874994754
Germany,Ivory Coast,2026-06-20T20:00:00Z,home,0.6096030008872192,0.8513609739041146,420000000.0,3575.7160903972813
Turkey,USA,2026-06-26T02:00:00Z,home,0.3458488705707241,0.99327277437497,344000000.0,3416.8583438498968
Turkey,Paraguay,2026-06-20T03:00:00Z,home,0.4197200490873028,0.9848464366238068,344000000.0,3387.871741985895
Australia,Paraguay,2026-06-26T02:00:00Z,away,0.2756692808484375,0.980520385069706,338000000.0,3314.158901535606
Morocco,Scotland,2026-06-19T22:00:00Z,away,0.4548496339240162,0.9693472649828604,333000000.0,3227.926392392925
Turkey,Australia,2026-06-14T04:00:00Z,away,0.5245181012829756,0.9270190720176102,344000000.0,3188.9456077405794
Australia,Turkey,2026-06-14T04:00:00Z,home,0.2106716542873661,0.9270190720176102,338000000.0,3133.3244634195225
Australia,USA,2026-06-19T19:00:00Z,away,0.200982335616973,0.9144454911967268,338000000.0,3090.825760244936
DR Congo,Uzbekistan,2026-06-27T23:30:00Z,home,0.3755529445805952,0.9952095704667656,297000000.0,2955.772424286294
Morocco,Brazil,2026-06-13T22:00:00Z,away,0.1715874761840793,0.8727022058835693,333000000.0,2906.098345592286
Saudi Arabia,Cape Verde,2026-06-27T00:00:00Z,away,0.3790858929909356,0.9940743100832174,288000000.0,2862.9340130396663
Colombia,Portugal,2026-06-27T23:30:00Z,home,0.275348001957514,0.9778908132968446,260000000.0,2542.5161145717957
DR Congo,Colombia,2026-06-24T02:00:00Z,away,0.1364080172733252,0.8229491137887812,297000000.0,2444.1588679526803
Japan,Sweden,2026-06-25T23:00:00Z,home,0.4569385181799715,0.9700610309490458,250000000.0,2425.1525773726144
Morocco,Haiti,2026-06-24T22:00:00Z,home,0.7084548938726489,0.7236875732516449,333000000.0,2409.8796189279774
Japan,Netherlands,2026-06-14T20:00:00Z,away,0.2613987614505042,0.9603331966146872,250000000.0,2400.832991536718
